,gross_value_of_secondary_industry,gross_value_of_the_tertiary_industry
0,2231.93,2503.54
1,2431.38,2748.28
2,2654.47,3060.87
3,3249.43,3431.93
4,3947.01,4134.92
5,4451.11,4824.17
6,5056.43,5567.8
7,5674.34,6891.94
8,6207.97,7956.03
9,6143.59,9028.17
10,7376.81,9942.25
11,8128.44,11280.46
12,8063.93,12361.79
13,8147.16,13985.61
14,8434.97,15501.64
15,8259.03,17274.62
16,8406.28,19662.89
17,9330.67,21191.54
18,9738.6,22843.23
19,1020.6,24494.92
20,1040.6,2092.9
21,1147.6,2541.6
22,1259.4,3054.2
23,1497.9,3522.1
24,1867.7,4211.9
25,2045.6,5008.9
26,2217.8,6007.7
27,2534.1,7438.4
28,2641.8,8638.8
29,2856.9,9445.4
30,3387.9,10930.9
31,3753.2,12740.2
32,4060.0,14141.7
33,4392.8,15777.4
34,4663.4,17121.5
35,4660.6,18884.7
36,4944.4,20594.9
37,5326.8,22567.8
38,5647.7,24553.6
39,5715.1,29542.5
40,874.0,774.1
41,1055.7,880.9
42,1234.7,1003.1
43,1723.7,1155.3
44,2108.1,1300.5
45,2633.4,2307.7
46,3049.5,2757.1
47,3404.8,3389.9
48,3815.8,3984.1
49,3827.1,4367.6
50,4523.4,5051.7
51,5343.3,6155.7
52,5737.6,7206.1
53,6296.9,8198.1
54,6812.0,9184.2
55,7207.9,10288.3
56,7780.5,11705.0
57,9318.1,13152.4
58,9962.0,14237.9
59,10495.8,16406.1
60,1032.0,1249.5
61,1125.1,1463.4
62,1227.1,1671.3
63,1508.1,1883.1
64,1817.7,2182.6
65,2045.2,2978.8
66,2430.0,3498.7
67,2806.8,4152.5
68,3199.0,4849.1
69,3405.2,5560.8
70,4002.3,6557.5
71,4577.0,7641.9
72,4720.7,8616.8
73,5227.4,9963.9
74,5591.0,10897.2
75,5726.1,12147.5
76,5751.6,13556.6
77,6011.0,15271.7
78,6234.1,16401.8
79,6454.0,16923.2
80,760.0,746.1
81,842.0,840.0
82,958.9,956.1
83,1135.3,1081.4
84,1386.8,1233.1
85,1577.7,1445.2
86,1888.2,1655.1
87,2202.4,2019.2
88,2613.3,2641.2
89,2973.3,2996.8
90,3574.1,3724.3
91,4518.9,4723.9
92,5244.2,5319.8
93,5900.1,5991.5
94,6637.2,6694.9
