,class,"Resident population (10,000)","Population density.
(person/sq km)","Number of households (10,000)",Average population per household (persons),"Urban residents per capita.
Disposable income (RMB)","The inhabitants of urban towns are per capita.
Consumer expenditure (RMB)","General public expenditure.
(Billions)","Investment in urban infrastructure.
(Billions)",Urban population density.,"A built-up area of the city.
Greening coverage (%)","Gross local product.
(Billions)",Gross domestic product per capita (RMB),"Gross domestic product of the first industry.
(Billions)","The gross value of the secondary industry.
(Billions)","The gross value of the tertiary industry.
(Billions)",Investment in environmental protection (RMB 100 million),"Number of college students per 10,000 population.","The level of education of employed persons.
(Undergraduate and above, %)","The amount of municipal household garbage cleared.
(10,000 tons)"
0,3,1608.6,2537.0,475.73,2.78,11718,8868,622.84,449.9,,22.2,4812.15,30307,76.68,2231.93,2503.54,141.91,141.0,,524.0
1,3,1668.33,2631.0,478.92,2.77,12883,9336,726.38,510.78,,23.8,5257.66,32089,78.0,2431.38,2748.28,152.93,168.0,,527.0
2,3,1712.97,2702.0,481.77,2.77,13250,10565,877.84,583.49,1959.0,30.0,5795.02,34277,79.68,2654.47,3060.87,162.39,194.0,7.0,377.0
3,3,1765.84,2785.0,486.06,2.76,14867,11040,1102.64,604.62,1971.0,35.2,6762.38,38878,81.02,3249.43,3431.93,191.53,214.0,7.0,585.0
4,3,1834.98,2894.0,490.58,2.76,16683,12631,1395.69,672.58,1970.0,36.0,8165.38,45353,83.45,3947.01,4134.92,225.37,227.0,10.56,610.0
5,2,1890.26,2981.0,496.69,2.74,18645,13773,1660.32,885.74,2718.0,37.0,9365.54,50282,90.26,4451.11,4824.17,281.18,234.0,10.59,622.0
6,2,1964.11,3098.0,499.54,2.74,20668,14762,1813.8,1125.54,2774.0,37.3,10718.04,55615,93.81,5056.43,5567.8,310.85,237.0,14.42,658.0
7,2,2063.58,3255.0,503.29,2.74,23623,17255,2201.92,1466.33,2930.0,37.6,12668.89,62909,102.61,5674.34,6891.94,366.12,235.0,13.48,691.0
8,2,2140.65,3376.0,506.64,2.75,26675,19398,2617.68,1733.18,2978.0,38.0,14276.79,67916,112.79,6207.97,7956.03,422.37,235.0,14.529000000000002,676.0
9,2,2210.28,3486.0,509.79,2.75,28838,20992,2989.65,2113.45,3030.0,38.1,15287.56,70273,115.8,6143.59,9028.17,460.42,232.0,15.92,710.0
10,2,2302.66,3632.0,519.27,2.72,31838,23200,3302.89,1497.46,3630.0,38.2,17436.85,77275,117.79,7376.81,9942.25,507.54,224.0,15.65,732.0
11,2,2347.46,3702.0,522.01,2.72,36230,25102,3914.88,1157.34,3702.0,38.2,19539.07,84037,130.17,8128.44,11280.46,557.92,218.0,16.43,704.0
12,2,2380.43,3754.0,524.31,2.72,40188,26253,4184.02,1038.61,3754.0,38.3,20558.98,86969,133.26,8063.93,12361.79,570.49,213.0,17.79,716.0
13,2,2415.15,3809.0,527.52,2.72,43851,32447,4528.61,1043.31,3809.0,38.4,22264.06,92852,131.29,8147.16,13985.61,607.88,209.0,18.55,735.0
14,2,2425.68,3826.0,532.55,2.7,47710,35182,5182.65,1057.25,3826.0,38.4,24068.2,99438,131.59,8434.97,15501.64,699.89,209.0,23.25,608.0
15,2,2415.27,3809.0,536.76,2.69,52962,36946,6191.56,1425.08,3809.0,38.5,25659.18,106009,125.53,8259.03,17274.62,708.83,212.0,26.8,613.0
16,2,2419.7,3816.0,541.62,2.68,57692,39857,6918.94,1551.87,3816.0,38.8,28183.51,116582,114.34,8406.28,19662.89,823.57,213.0,28.1,629.0
17,2,2418.33,3814.0,546.13,2.66,62596,42304,7547.62,1705.22,3814.0,39.1,30632.99,126634,110.78,9330.67,21191.54,923.53,213.0,29.8,900.0
18,2,2423.78,3823.0,550.64,2.64,68034,46015,8351.54,1863.81,3823.0,36.2,32679.87,134982,98.04,9738.6,22843.23,1023.49,213.0,31.5,984.0
19,2,2428.14,3832.0,555.15,2.62,73615,48272,8179.28,1858.96,3832.0,33.3,38155.32,157300,85.3,,24494.92,1079.25,213.0,33.2,940.0
20,0,1363.6,811.0,397.9,2.6,10350,8493,443.0,351.9,811.0,36.5,3212.8,24518,79.3,1040.6,2092.9,1135.01,432.0,34.9,244.39
21,0,1385.1,824.0,405.3,2.91,11578,8923,559.11,356.4,824.0,38.8,3769.9,27430,80.8,1147.6,2541.6,1190.77,474.0,8.2,309.3
22,0,1423.2,847.0,416.3,2.87,12464,10286,628.35,411.9,2099.0,40.6,4396.0,31307,82.4,1259.4,3054.2,1246.53,546.0,11.4,321.4
23,3,1456.4,867.0,427.6,2.74,13883,11124,734.8,417.8,2128.0,40.9,5104.1,35450,84.1,1497.9,3522.1,1302.29,618.0,13.8,425.1
24,3,1492.7,910.0,439.8,2.79,15638,12200,898.28,463.2,2623.0,41.9,6164.9,41809,85.4,1867.7,4211.9,1358.05,620.0,16.27,491.0
25,3,1538.0,937.0,451.7,2.7,17653,13244,1058.31,610.7,937.0,42.0,7141.4,47127,86.9,2045.6,5008.9,1413.81,658.0,16.44,454.6
