p,交通成本,规模成本,总成本
6,30623.502699999994,9431.6,40055.102699999996
7,22475.8451,9963.5,32439.3451
8,20374.939,10414.1,30789.038999999997
9,18227.899799999992,11110.4,29338.299799999993
10,16891.41579999999,11574.2,28465.615799999992
11,15838.9553,12248.8,28087.755299999997
12,15064.740299999998,12656.9,27721.6403
13,14320.048300000002,13157.5,27477.548300000002
14,13729.345600000004,13654.7,27384.045600000005
15,13211.406900000007,14051.9,27263.306900000007
16,12772.097900000004,14394.6,27166.697900000006
17,12341.487600000008,14932.3,27273.787600000007
18,11928.222900000006,15164.9,27093.122900000006
19,11584.543200000004,15402.0,26986.543200000004
20,11311.610300000004,15633.4,26945.0103
21,11070.782600000004,15892.7,26963.482600000003
22,10868.205700000004,16132.9,27001.105700000004
23,10723.861700000003,16439.5,27163.3617
24,10626.823800000002,16539.7,27166.523800000003
25,10543.021700000003,16721.0,27264.021700000005
26,10488.824100000002,16875.0,27363.8241
27,10442.674000000003,17154.5,27597.174000000003
