名称,Name,范围,年份,生活垃圾清运量,常住人口,城镇人口比重,户数,平均每户人数,性别比例,年龄构成(0-14),年龄构成(15-64),年龄构成(65以上),城市居民人均可支配收入,城市居民人均消费支出,一般公共财政支出,国内生产总值,第一产业生产总值,第二产业生产总值,第三产业生产总值,人均生产总值,"就业人员受教育程度
（大学本科及以上）"
中国,China,国家,2000,11818.88,126743,36.09,34553.0383,3.58,106.19,22.89,70.15,6.96,6279.98,4998.0,10454.2771,99776.3,14716.2,45326.0,39734.1,7902.0,
中国,China,国家,2001,13470.4,127627,,35106.3583,3.54,106.14,22.515748931432235,69.64956220879121,7.834688859776545,6859.58,5309.01,13134.5584,110270.4,15501.2,49262.0,45507.2,8670.0,
中国,China,国家,2002,13650.0,128453,,35716.525,3.51,106.16,21.28581652502758,70.55127641981301,8.162907055159414,7702.8,6029.88,15281.4521,121002.0,16188.6,53624.4,51189.0,9450.0,
中国,China,国家,2003,14856.5,129227,,36290.4656,3.47,106.28,20.33672405668236,71.1550514161863,8.50822452713134,8472.2,6510.94,17229.8463,136564.6,16968.3,62120.8,57475.6,10600.0,
中国,China,国家,2004,15509.3,129988,,37041.2954,3.43,106.22,19.3019516146409,72.13488526133919,8.563242928339712,9422.0,7182.0,20592.8063,160714.4,20901.8,73529.8,66282.8,12400.0,
中国,China,国家,2005,15576.8,130756,42.99,37915.1688,3.37,106.28,19.55183534260392,71.37553290207813,9.072631755317953,10493.0,7942.88,25154.3091,185895.8,21803.5,87127.3,76964.9,14259.0,
中国,China,国家,2006,14841.3,131448,44.34,38737.2225,3.3382700682786433,106.16871118767541,18.469630223381902,72.3329079557898,9.197461820828295,11759.5,8696.55,30431.3,217656.6,23313.0,103163.5,91180.1,16602.0,2.364675688287447
中国,China,国家,2007,15214.53,132129,45.89,39574.3089,3.31,106.1,17.87406655287662,72.77055770863075,9.355459861247928,13785.8,9997.5,38339.2909,268019.4,27783.0,125145.4,115090.9,20337.0,2.3000000000000003
中国,China,国家,2008,15437.7,132802,46.99,40384.4456,3.27182313479623,105.9765169826,17.317298546228706,73.14422059513576,9.538480858635527,15780.8,11242.9,49248.4949,316751.7,32747.0,148097.9,135906.9,23912.0,2.47964046698552
中国,China,国家,2009,15733.68,133450,48.34,41254.7877,3.23,105.85,16.868614730134095,73.41453030336845,9.71676912855605,17174.7,12264.6,61044.1368,345629.2,34154.0,157850.1,153625.1,25963.0,2.73
中国,China,国家,2010,15804.8,134091,49.95,42116.2241,3.19,105.7,16.60570349085291,74.471263184154,8.92303332499309,19109.0,13471.5,92733.68,408903.0,39354.6,188804.9,180743.4,30567.0,4.09
中国,China,国家,2011,16395.3,134735,51.27,42892.5965,3.16,105.61,16.46773645683888,74.40371146227457,9.128552080886546,21810.0,15161.0,92733.68,484123.5,46153.3,223390.3,214579.9,36018.0,5.340000000000001
中国,China,国家,2012,17080.9,135404,52.57,43308.8571,3.14,105.67,16.461404814428526,74.13985191982295,9.398743265748523,24564.72,16674.0,107188.34,534123.0,50892.7,240200.4,243030.0,39544.0,5.68
中国,China,国家,2013,17238.6,136072,53.73,43879.9191,3.12,105.71,16.40670473778939,73.91359160539791,9.6797036568127,26467.0,18487.5,119740.34,588018.8,55321.7,256810.0,275887.0,43320.0,6.01
中国,China,国家,2014,17860.2,136782,54.77,44330.8957,3.11,105.7,16.49,73.45,10.06,28843.9,19968.1,129215.49,636138.7,58336.1,271764.5,306038.2,46629.0,6.75
中国,China,国家,2015,19141.9,137462,56.1,44549.6486,3.1,105.67,16.52,73.01,10.47,31194.8,21392.4,150335.62,689052.1,60862.1,282040.3,346149.7,50251.0,8.2
中国,China,国家,2016,20362.0,138271,57.35,44911.8543,3.1,105.52,16.64,72.51,10.85,33616.2,23078.9,160351.36,743585.5,63672.8,296547.7,383365.0,53935.0,8.5
中国,China,国家,2017,21520.9,139008,58.52,45180.6799,3.09,105.27,16.79578012060291,71.81557499436802,11.388644885029068,36396.2,24445.0,173228.34,827121.7,65467.6,334622.6,427031.5,59660.0,8.8
中国,China,国家,2018,22801.8,139538,59.58,45561.9035,2.98,102.36,16.85784625491854,71.20433530657459,11.937731075404841,39250.8,26112.3,188196.32,900309.5,64734.0,366000.9,469574.6,64644.0,9.4
