,label,result
0,常住人口（万人）,0.06792563287522428
1,"人口密度
（人/平方千米）",0.0740232697335018
2,户数（万户）,0.06730681982027473
3,每户平均人口（人）,0.07106886938146864
4,"城市居民人均
可支配收入（元）",0.06484440864782377
5,"城市镇居民人均
消费支出（元）",0.0702644630971106
6,"一般公共财政支出
（亿元）",0.07084631159069082
7,"城市基础设施投资额
（亿元）",0.06546363193076893
8,城市人口密度,0.06087721894796689
9,"城市建成区
绿化覆盖率(%)",0.07157858232881514
10,"地方生产总值
（亿元）",0.06198610485004586
11,人均生产总值（元）,0.06386160980901982
12,"第一产业生产总值
（亿元）",0.06377653703171719
13,"第二产业生产总值
（亿元）",0.05830291141625859
14,"第三产业生产总值
（亿元）",0.0678736285393131
